,originalTitle,numVotes,startYear,averageRating
435332,CM101MMXI Fundamentals,44208,2013.0,9.2
54910,The Dark Knight,2349873,2008.0,9.0
471,The Lord of the Rings: The Return of the King,1669247,2003.0,8.9
98,The Lord of the Rings: The Fellowship of the Ring,1689917,2001.0,8.8
613513,Dag II,105871,2016.0,8.8
276009,Inception,2108282,2010.0,8.8
472,The Lord of the Rings: The Two Towers,1509581,2002.0,8.7
144791,Soorarai Pottru,59524,2020.0,8.6
105563,Interstellar,1552906,2014.0,8.6
3720,Sen to Chihiro no kamikakushi,668585,2001.0,8.6
661043,Gisaengchung,601803,2019.0,8.6
16563,Cidade de Deus,708343,2002.0,8.6
59381,The Prestige,1212751,2006.0,8.5
531,Gladiator,1363372,2000.0,8.5
434808,Whiplash,736365,2014.0,8.5
4612,The Pianist,746764,2002.0,8.5
732069,Hamilton,63713,2020.0,8.5
289392,Senna,65137,2010.0,8.5
331031,Intouchables,776650,2011.0,8.5
37155,The Departed,1210454,2006.0,8.5
