"","x"
"1",8.789100071
"2",12.07613579
"3",10.65713835
"4",7.513991921
"5",8.644192433
"6",9.539759326
"7",9.030093315
"8",6.6868179
"9",10.61776776
"10",10.25969841
"11",9.150132937
"12",10.71476989
"13",8.962463015
"14",12.04187045
"15",9.335024293
"16",7.882562369
"17",8.065876461
"18",6.257112511
"19",10.96887507
"20",6.753972959
"21",7.884425673
"22",10.45744531
"23",10.54871371
"24",6.990817284
"25",11.04639334
"26",6.721283168
"27",11.18886369
"28",6.319405351
"29",7.004352026
"30",7.887105662
"31",10.64361715
"32",4.52046411
"33",10.86488896
"34",9.605242647
"35",8.736085491
"36",10.89608448
"37",9.307851077
"38",8.98721674
"39",9.410910707
"40",9.129657097
"41",10.61877527
"42",13.29176461
"43",7.423489071
"44",9.991811736
"45",9.036860774
"46",10.65833607
"47",12.37112094
"48",9.017282337
"49",8.888894394
"50",9.299257289
"51",11.38384997
"52",10.35111433
"53",10.51774882
"54",8.788356955
"55",9.152871096
"56",7.983768311
"57",10.50750516
"58",7.006223224
"59",9.32277041
"60",7.087322482
"61",8.358111759
"62",11.38305079
"63",14.21663895
"64",7.69578357
"65",10.41568299
"66",8.798139509
"67",13.35012209
"68",8.354467656
"69",8.584974305
"70",5.660447191
"71",5.530178641
"72",9.077901184
"73",10.69342751
"74",9.319286153
"75",10.07599628
"76",8.082290441
"77",11.15381468
"78",5.737259783
"79",11.12411751
"80",11.96533874
"81",9.520236834
"82",10.43612012
"83",6.143210755
"84",10.85170598
"85",8.885844162
"86",7.84059506
"87",11.53980086
"88",9.608452601
"89",10.95232289
"90",8.908071268
"91",11.80929916
"92",9.871086833
"93",12.79556432
"94",11.35611929
"95",12.03233875
"96",4.697354486
"97",10.77577855
"98",10.21810778
"99",9.505800193
"100",5.469187751
"101",5.004397707
"102",9.808487837
"103",7.961812653
"104",8.25273002
"105",8.841781351
"106",13.39565943
"107",10.75584378
"108",8.809101751
"109",10.03172999
"110",8.874432189
"111",6.500005244
"112",9.81792475
"113",8.886631385
"114",10.43194002
"115",8.311109402
"116",5.171258959
"117",8.63990177
"118",8.997540913
"119",7.856904828
"120",8.497523846
"121",10.60605783
"122",10.55142421
"123",10.17974009
"124",10.82975948
"125",9.848356865
"126",7.916584136
"127",10.85037491
"128",12.6327617
"129",8.405265019
"130",10.08566169
"131",9.89233724
"132",7.988712967
"133",13.20418735
"134",10.31953773
"135",9.217257537
"136",7.855985088
"137",12.01494072
"138",13.5262595
"139",10.17710119
"140",10.97800881
"141",11.19774142
"142",10.9038565
"143",8.288329469
"144",9.123015174
"145",8.161336604
"146",10.97699807
"147",8.711778908
"148",9.803185496
"149",7.664748151
"150",9.767614825
"151",7.306218378
"152",6.585547225
"153",9.716305929
"154",10.3040703
"155",6.088244714
"156",8.804447703
"157",6.711665103
"158",8.514778415
"159",9.092371861
"160",8.778678036
"161",12.01699793
"162",6.754639678
"163",10.05954707
"164",11.43944192
"165",10.11877129
"166",8.892517699
"167",6.106619302
"168",8.926088253
"169",10.93949368
"170",6.565347496
"171",10.33812938
"172",9.550087177
"173",12.28847469
"174",7.689763305
"175",8.373660364
"176",8.55670068
"177",10.85803932
"178",8.594367435
"179",10.29969863
"180",5.996893922
"181",8.119808441
"182",11.81406713
"183",13.32901371
"184",10.14272979
"185",7.749669894
"186",5.432687331
"187",9.738807282
"188",10.08743177
"189",11.00788591
"190",12.33768264
"191",10.09290459
"192",12.33539624
"193",9.02846906
"194",7.745680208
"195",11.78887495
"196",10.56926304
"197",11.88685658
"198",7.773957974
"199",11.64447321
"200",10.86288256
"201",11.89952657
"202",9.10703343
"203",12.42679541
"204",8.54590293
"205",7.989038464
"206",8.389389842
"207",9.957128028
"208",13.29780202
"209",9.513972127
"210",10.52728955
"211",7.841141722
"212",9.821386961
"213",6.778561399
"214",11.85460027
"215",8.826121449
"216",9.233605759
"217",8.071698544
"218",9.650504225
"219",8.21784455
"220",10.48979912
"221",12.48743012
"222",9.073339012
"223",12.00034676
"224",10.44414276
"225",12.9099754
"226",13.414361
"227",6.83604512
"228",5.899764397
"229",8.435477584
"230",10.90973063
"231",8.711107515
"232",7.827326095
"233",7.92076546
"234",9.091596002
"235",8.972271931
"236",7.171927684
"237",6.626666742
"238",7.978766172
"239",9.482826978
"240",13.24170654
"241",6.551879486
"242",11.56745298
"243",11.42399031
"244",6.027838319
"245",6.593475688
"246",7.819621736
"247",12.59826864
"248",9.909565728
"249",12.82140559
"250",8.981957017
"251",11.01908887
"252",8.985000521
"253",6.810438415
"254",8.01410903
"255",9.761374075
"256",10.49074179
"257",7.680545376
"258",11.80991145
"259",7.446207244
"260",11.47753358
"261",8.859631969
"262",9.22195207
"263",5.685436998
"264",12.27207019
"265",10.06296983
"266",9.91376275
"267",7.417279663
"268",8.368524336
"269",7.009126507
"270",9.378017622
"271",8.039529998
"272",9.818031099
"273",10.2998268
"274",7.935753411
"275",12.54801288
"276",7.954525047
"277",9.329828018
"278",10.35670692
"279",10.94259978
"280",14.69857981
"281",9.927985516
"282",9.024556176
"283",8.444578369
"284",8.950377094
"285",11.31927513
"286",8.157793812
"287",9.371742355
"288",8.899412124
"289",7.07079103
"290",7.178197016
"291",8.681506559
"292",4.472512675
"293",8.831702696
"294",11.36700928
"295",4.011693554
"296",9.410056378
"297",2.661838314
"298",11.05991415
"299",9.813926927
"300",7.982786488
"301",8.18646715
"302",10.4973637
"303",6.729524748
"304",9.582373939
"305",9.776143917
"306",10.50407492
"307",14.77622829
"308",10.94320392
"309",10.36847506
"310",9.330602949
"311",10.83018815
"312",12.012212
"313",10.63313458
"314",9.944618982
"315",9.305935562
"316",9.22558614
"317",11.75609491
"318",6.344013538
"319",9.162384765
"320",9.690897974
"321",8.031116488
"322",10.031679
"323",9.079210867
"324",9.267224612
"325",6.597743898
"326",7.833527141
"327",13.38223153
"328",11.88269643
"329",5.616447098
"330",10.37269706
"331",14.35293495
"332",9.360499503
"333",8.0586809
"334",10.53559956
"335",9.729770461
"336",9.816120893
"337",7.970726076
"338",8.061894059
"339",10.1830901
"340",10.75526378
"341",11.85250294
"342",8.448604894
"343",9.434750129
"344",7.436973906
"345",10.39521067
"346",9.659488031
"347",8.262883069
"348",10.24190347
"349",8.368747407
"350",5.852514682
"351",6.35202229
"352",8.870296065
"353",7.162577179
"354",8.032002716
"355",10.64921157
"356",9.547098764
"357",7.119185555
"358",6.925419135
"359",8.313976234
"360",9.495117158
"361",8.31413426
"362",6.205847899
"363",7.050417454
"364",10.16487344
"365",6.743541169
"366",11.64076025
"367",7.264503154
"368",8.360079217
"369",7.91229892
"370",6.493620803
"371",11.05291271
"372",13.27974764
"373",13.03573267
"374",10.46038313
"375",9.252128969
"376",9.770043629
"377",6.596017151
"378",9.986944697
"379",7.893251471
"380",11.67905333
"381",9.37416439
"382",11.81084463
"383",9.491369448
"384",10.38517766
"385",10.27740366
"386",8.180061768
"387",8.643961391
"388",11.24479764
"389",11.21165419
"390",6.821247601
"391",11.66995977
"392",8.568891019
"393",8.08576268
"394",4.656191201
"395",8.251942248
"396",10.65424545
"397",10.00117948
"398",9.01286015
"399",10.07436347
"400",9.864702708
"401",9.850890995
"402",8.355359454
"403",10.87113621
"404",12.0532654
"405",6.058378349
"406",7.173342319
"407",10.15051245
"408",6.526166815
"409",7.958014848
"410",9.545969752
"411",11.00892579
"412",10.73105584
"413",11.56540154
"414",9.416986362
"415",8.343121032
"416",11.45787327
"417",7.541803652
"418",9.739400297
"419",9.619986527
"420",7.307651962
"421",5.380233277
"422",8.828987379
"423",6.90858519
"424",6.365058869
"425",5.612629914
"426",8.641892219
"427",9.176746537
"428",10.04988476
"429",7.18488537
"430",9.151231025
"431",12.82891146
"432",6.508582788
"433",9.174295277
"434",13.65769374
"435",7.541740356
"436",7.57530469
"437",3.97514983
"438",8.495654023
"439",11.44769537
"440",7.347592177
